(s,b,c) : belief state id
58,[0.758003 0.241997],9 : 193
58,[0 1],10 : 194
59,[0 1],10 : 195
67,[0.72301 0.27699],10 : 196
68,[0.939981 0.0600188],10 : 197
69,[0.922128 0.077872],10 : 198
67,[0.758003 0.241997],14 : 199
68,[0.758003 0.241997],14 : 200
69,[0.758003 0.241997],14 : 201
66,[0.342991 0.657009],9 : 202
55,[0.394878 0.605122],10 : 203
56,[0.394878 0.605122],10 : 204
57,[0.394878 0.605122],10 : 205
65,[0.394878 0.605122],10 : 206
66,[0 1],10 : 207
67,[0.394878 0.605122],10 : 208
75,[0.394878 0.605122],10 : 209
76,[0.394878 0.605122],10 : 210
77,[0.394878 0.605122],10 : 211
75,[0.342991 0.657009],14 : 212
76,[0.342991 0.657009],14 : 213
77,[0.342991 0.657009],14 : 214
67,[0.758003 0.241997],9 : 215
56,[0.796556 0.203444],10 : 216
57,[0.796556 0.203444],10 : 217
58,[0.796556 0.203444],10 : 218
66,[0.796556 0.203444],10 : 219
67,[0 1],10 : 220
68,[0.796556 0.203444],10 : 221
76,[0.796556 0.203444],10 : 222
77,[0.796556 0.203444],10 : 223
78,[0.796556 0.203444],10 : 224
56,[1 0],14 : 225
66,[1 0],14 : 226
76,[0.939981 0.0600188],14 : 227
77,[0 1],14 : 228
78,[0 1],14 : 229
68,[0.758003 0.241997],9 : 230
59,[0.796556 0.203444],10 : 231
67,[0.796556 0.203444],10 : 232
68,[0 1],10 : 233
69,[0.796556 0.203444],10 : 234
79,[0.796556 0.203444],10 : 235
57,[1 0],14 : 236
67,[1 0],14 : 237
77,[0.939981 0.0600188],14 : 238
79,[0 1],14 : 239
66,[0.556131 0.443869],13 : 240
55,[0.61031 0.38969],14 : 241
56,[0.61031 0.38969],14 : 242
57,[0.61031 0.38969],14 : 243
65,[0.61031 0.38969],14 : 244
66,[0 1],14 : 245
67,[0.61031 0.38969],14 : 246
75,[0.61031 0.38969],14 : 247
76,[0.61031 0.38969],14 : 248
77,[0.61031 0.38969],14 : 249
75,[0.556131 0.443869],18 : 250
76,[0.556131 0.443869],18 : 251
77,[0.556131 0.443869],18 : 252
67,[0.556131 0.443869],13 : 253
58,[0.61031 0.38969],14 : 254
66,[0.61031 0.38969],14 : 255
67,[0 1],14 : 256
68,[0.61031 0.38969],14 : 257
78,[0.61031 0.38969],14 : 258
56,[1 0],18 : 259
66,[1 0],18 : 260
76,[0.862346 0.137654],18 : 261
77,[0 1],18 : 262
78,[0 1],18 : 263
68,[0.556131 0.443869],13 : 264
59,[0.61031 0.38969],14 : 265
68,[0 1],14 : 266
69,[0.61031 0.38969],14 : 267
79,[0.61031 0.38969],14 : 268
57,[1 0],18 : 269
67,[1 0],18 : 270
77,[0.862346 0.137654],18 : 271
79,[0 1],18 : 272
58,[0.882595 0.117405],8 : 273
59,[0.850388 0.149612],8 : 274
57,[0.600559 0.399441],12 : 275
46,[0 1],13 : 276
48,[0.727335 0.272665],13 : 277
58,[0.930253 0.0697472],14 : 278
59,[0.909783 0.0902165],14 : 279
57,[0.727335 0.272665],18 : 280
58,[0.727335 0.272665],18 : 281
59,[0.727335 0.272665],18 : 282
56,[0 1],13 : 283
57,[0 1],13 : 284
58,[0.789861 0.210139],13 : 285
68,[0.949479 0.050521],14 : 286
69,[0.934253 0.0657467],14 : 287
67,[0.789861 0.210139],18 : 288
68,[0.789861 0.210139],18 : 289
69,[0.789861 0.210139],18 : 290
66,[0.385167 0.614833],13 : 291
55,[0.43917 0.56083],14 : 292
56,[0.43917 0.56083],14 : 293
57,[0.43917 0.56083],14 : 294
65,[0.43917 0.56083],14 : 295
67,[0.43917 0.56083],14 : 296
75,[0.43917 0.56083],14 : 297
76,[0.43917 0.56083],14 : 298
77,[0.43917 0.56083],14 : 299
75,[0.385167 0.614833],18 : 300
76,[0.385167 0.614833],18 : 301
77,[0.385167 0.614833],18 : 302
67,[0.789861 0.210139],13 : 303
56,[0.824513 0.175487],14 : 304
57,[0.824513 0.175487],14 : 305
58,[0.824513 0.175487],14 : 306
66,[0.824513 0.175487],14 : 307
68,[0.824513 0.175487],14 : 308
76,[0.824513 0.175487],14 : 309
77,[0.824513 0.175487],14 : 310
78,[0.824513 0.175487],14 : 311
76,[0.949479 0.050521],18 : 312
68,[0.789861 0.210139],13 : 313
59,[0.824513 0.175487],14 : 314
67,[0.824513 0.175487],14 : 315
69,[0.824513 0.175487],14 : 316
79,[0.824513 0.175487],14 : 317
77,[0.949479 0.050521],18 : 318
66,[0.600559 0.399441],17 : 319
67,[0.600559 0.399441],17 : 320
68,[0.600559 0.399441],17 : 321
58,[0.600559 0.399441],12 : 322
58,[0 1],13 : 323
59,[0 1],13 : 324
68,[0.882595 0.117405],13 : 325
69,[0.850388 0.149612],13 : 326
69,[0.600559 0.399441],17 : 327
59,[0.600559 0.399441],12 : 328
48,[0.539795 0.460205],13 : 329
57,[0.494299 0.505701],14 : 330
58,[0.854327 0.145673],14 : 331
59,[0.815983 0.184017],14 : 332
57,[0.539795 0.460205],18 : 333
58,[0.539795 0.460205],18 : 334
59,[0.539795 0.460205],18 : 335
58,[0.714761 0.285239],13 : 336
67,[0.676186 0.323814],14 : 337
68,[0.926086 0.0739144],14 : 338
69,[0.904519 0.0954812],14 : 339
67,[0.714761 0.285239],18 : 340
68,[0.714761 0.285239],18 : 341
69,[0.714761 0.285239],18 : 342
59,[0.577661 0.422339],13 : 343
48,[0.516219 0.483781],14 : 344
58,[0.695086 0.304914],14 : 345
59,[0.554424 0.445576],14 : 346
68,[0.695086 0.304914],14 : 347
69,[0.695086 0.304914],14 : 348
68,[0.87243 0.12757],18 : 349
68,[0.714761 0.285239],13 : 350
57,[0.758003 0.241997],14 : 351
58,[0.758003 0.241997],14 : 352
59,[0.758003 0.241997],14 : 353
77,[0.758003 0.241997],14 : 354
78,[0.758003 0.241997],14 : 355
79,[0.758003 0.241997],14 : 356
77,[0.926086 0.0739144],18 : 357
69,[0.714761 0.285239],13 : 358
69,[0.646289 0.353711],14 : 359
68,[1 0],18 : 360
78,[0.926086 0.0739144],18 : 361
48,[1 0],17 : 362
58,[1 0],17 : 363
59,[0 1],17 : 364
68,[0.882595 0.117405],17 : 365
69,[0 1],17 : 366
49,[0.900209 0.0997905],7 : 367
39,[0.643392 0.356608],11 : 368
28,[0 1],12 : 369
29,[0 1],12 : 370
38,[0 1],12 : 371
48,[0.600559 0.399441],12 : 372
57,[0.556131 0.443869],13 : 373
48,[0.689722 0.310278],14 : 374
66,[0.342991 0.657009],14 : 375
66,[0.556131 0.443869],18 : 376
67,[0.556131 0.443869],18 : 377
68,[0.556131 0.443869],18 : 378
58,[0.882595 0.117405],13 : 379
59,[0.850388 0.149612],13 : 380
57,[0.600559 0.399441],17 : 381
58,[0.600559 0.399441],17 : 382
59,[0.600559 0.399441],17 : 383
49,[0.900209 0.0997905],12 : 384
39,[0.643392 0.356608],16 : 385
48,[0.643392 0.356608],16 : 386
49,[0.643392 0.356608],16 : 387
48,[0.643392 0.356608],11 : 388
37,[0 1],12 : 389
39,[0 1],12 : 390
47,[0 1],12 : 391
48,[0 1],12 : 392
49,[0 1],12 : 393
58,[0.900209 0.0997905],12 : 394
59,[0.872135 0.127865],12 : 395
57,[0.643392 0.356608],16 : 396
58,[0.643392 0.356608],16 : 397
59,[0.643392 0.356608],16 : 398
49,[0.643392 0.356608],11 : 399
59,[0.900209 0.0997905],12 : 400
48,[0.699519 0.300481],6 : 401
37,[0 1],7 : 402
39,[0 1],7 : 403
47,[0 1],7 : 404
48,[0 1],7 : 405
49,[0 1],7 : 406
57,[0.659864 0.340136],7 : 407
46,[0 1],8 : 408
48,[0.774873 0.225127],8 : 409
57,[0.741487 0.258513],9 : 410
48,[0.835766 0.164234],10 : 411
58,[0.877611 0.122389],10 : 412
66,[0.544443 0.455557],10 : 413
67,[0.877611 0.122389],10 : 414
68,[0.877611 0.122389],10 : 415
66,[0.741487 0.258513],14 : 416
67,[0.741487 0.258513],14 : 417
68,[0.741487 0.258513],14 : 418
58,[0.945084 0.0549159],9 : 419
59,[0.928634 0.0713665],9 : 420
57,[0.774873 0.225127],13 : 421
48,[0.859287 0.140713],14 : 422
58,[0.895886 0.104114],14 : 423
66,[0.589177 0.410823],14 : 424
67,[0.895886 0.104114],14 : 425
68,[0.895886 0.104114],14 : 426
66,[0.774873 0.225127],18 : 427
67,[0.774873 0.225127],18 : 428
68,[0.774873 0.225127],18 : 429
58,[0.774873 0.225127],13 : 430
68,[0.945084 0.0549159],14 : 431
69,[0.928634 0.0713665],14 : 432
69,[0.774873 0.225127],18 : 433
59,[0.774873 0.225127],13 : 434
48,[0.728644 0.271356],14 : 435
58,[0.851556 0.148444],14 : 436
59,[0.75794 0.24206],14 : 437
68,[0.851556 0.148444],14 : 438
69,[0.851556 0.148444],14 : 439
68,[0.945084 0.0549159],18 : 440
56,[0 1],8 : 441
57,[0 1],8 : 442
58,[0.82906 0.17094],8 : 443
66,[0.447004 0.552996],8 : 444
55,[0.50259 0.49741],9 : 445
44,[0 1],10 : 446
45,[0 1],10 : 447
54,[0 1],10 : 448
55,[0 1],10 : 449
64,[0.457116 0.542884],10 : 450
65,[0.834768 0.165232],10 : 451
66,[0.792525 0.207475],10 : 452
64,[0.50259 0.49741],14 : 453
65,[0.50259 0.49741],14 : 454
66,[0.50259 0.49741],14 : 455
56,[0.50259 0.49741],9 : 456
45,[0.541789 0.458211],10 : 457
55,[0.716396 0.283604],10 : 458
65,[0.716396 0.283604],10 : 459
66,[0.716396 0.283604],10 : 460
67,[0.656349 0.343651],10 : 461
67,[0.50259 0.49741],14 : 462
57,[0.50259 0.49741],9 : 463
48,[0.64192 0.35808],10 : 464
58,[0.716396 0.283604],10 : 465
66,[0.296274 0.703726],10 : 466
67,[0.716396 0.283604],10 : 467
68,[0.716396 0.283604],10 : 468
68,[0.50259 0.49741],14 : 469
65,[0.50259 0.49741],9 : 470
54,[0.558113 0.441887],10 : 471
55,[0.558113 0.441887],10 : 472
56,[0.558113 0.441887],10 : 473
64,[0.558113 0.441887],10 : 474
65,[0 1],10 : 475
66,[0.558113 0.441887],10 : 476
74,[0.558113 0.441887],10 : 477
75,[0.558113 0.441887],10 : 478
76,[0.558113 0.441887],10 : 479
74,[1 0],14 : 480
75,[1 0],14 : 481
76,[0.758003 0.241997],14 : 482
66,[0 1],9 : 483
67,[0.50259 0.49741],9 : 484
57,[0.558113 0.441887],10 : 485
58,[0.558113 0.441887],10 : 486
68,[0.558113 0.441887],10 : 487
77,[0.558113 0.441887],10 : 488
78,[0.558113 0.441887],10 : 489
76,[0.834768 0.165232],14 : 490
75,[0.50259 0.49741],9 : 491
65,[0.558113 0.441887],10 : 492
75,[0 1],10 : 493
84,[0.558113 0.441887],10 : 494
85,[0.558113 0.441887],10 : 495
86,[0.558113 0.441887],10 : 496
76,[0 1],14 : 497
84,[1 0],14 : 498
85,[1 0],14 : 499
86,[0.758003 0.241997],14 : 500
76,[0.50259 0.49741],9 : 501
67,[0.558113 0.441887],10 : 502
76,[0 1],10 : 503
87,[0.558113 0.441887],10 : 504
65,[1 0],14 : 505
87,[0 1],14 : 506
77,[0.50259 0.49741],9 : 507
75,[0.447004 0.552996],13 : 508
74,[0.50259 0.49741],14 : 509
75,[0 1],14 : 510
76,[0.50259 0.49741],14 : 511
84,[0.50259 0.49741],14 : 512
85,[0.50259 0.49741],14 : 513
86,[0.50259 0.49741],14 : 514
66,[0 1],18 : 515
76,[0 1],18 : 516
84,[1 0],18 : 517
85,[1 0],18 : 518
86,[0.714761 0.285239],18 : 519
76,[0.447004 0.552996],13 : 520
75,[0.50259 0.49741],14 : 521
77,[0.50259 0.49741],14 : 522
87,[0.50259 0.49741],14 : 523
65,[1 0],18 : 524
67,[0 1],18 : 525
75,[1 0],18 : 526
87,[0 1],18 : 527
77,[0.447004 0.552996],13 : 528
67,[0.82906 0.17094],8 : 529
68,[0.82906 0.17094],8 : 530
66,[0.659864 0.340136],12 : 531
55,[0.708029 0.291971],13 : 532
44,[0 1],14 : 533
45,[0 1],14 : 534
54,[0 1],14 : 535
55,[0 1],14 : 536
64,[0.668965 0.331035],14 : 537
65,[0.923809 0.0761905],14 : 538
66,[0.901649 0.0983509],14 : 539
64,[0.708029 0.291971],18 : 540
65,[0.708029 0.291971],18 : 541
66,[0.708029 0.291971],18 : 542
56,[0.708029 0.291971],13 : 543
45,[0.739432 0.260568],14 : 544
55,[0.858407 0.141593],14 : 545
65,[0.858407 0.141593],14 : 546
66,[0.858407 0.141593],14 : 547
67,[0.820912 0.179088],14 : 548
67,[0.708029 0.291971],18 : 549
57,[0.708029 0.291971],13 : 550
48,[0.811407 0.188593],14 : 551
58,[0.858407 0.141593],14 : 552
67,[0.858407 0.141593],14 : 553
68,[0.858407 0.141593],14 : 554
68,[0.708029 0.291971],18 : 555
65,[0.708029 0.291971],13 : 556
54,[0.751938 0.248062],14 : 557
55,[0.751938 0.248062],14 : 558
56,[0.751938 0.248062],14 : 559
64,[0.751938 0.248062],14 : 560
65,[0 1],14 : 561
66,[0.751938 0.248062],14 : 562
74,[0.751938 0.248062],14 : 563
75,[0.751938 0.248062],14 : 564
76,[0.751938 0.248062],14 : 565
56,[0 1],18 : 566
74,[1 0],18 : 567
76,[0.882595 0.117405],18 : 568
66,[0 1],13 : 569
67,[0.708029 0.291971],13 : 570
57,[0.751938 0.248062],14 : 571
58,[0.751938 0.248062],14 : 572
68,[0.751938 0.248062],14 : 573
77,[0.751938 0.248062],14 : 574
78,[0.751938 0.248062],14 : 575
76,[0.923809 0.0761905],18 : 576
75,[0.708029 0.291971],13 : 577
65,[0.751938 0.248062],14 : 578
84,[0.751938 0.248062],14 : 579
85,[0.751938 0.248062],14 : 580
86,[0.751938 0.248062],14 : 581
86,[0.882595 0.117405],18 : 582
76,[0.708029 0.291971],13 : 583
67,[0.751938 0.248062],14 : 584
87,[0.751938 0.248062],14 : 585
77,[0.708029 0.291971],13 : 586
75,[0.659864 0.340136],17 : 587
