(s,b,c) : belief state id
84,[0.494654 0.505346],10 : 4079
85,[0.494654 0.505346],10 : 4080
86,[0.494654 0.505346],10 : 4081
86,[0.708244 0.291756],14 : 4082
76,[0.43917 0.56083],9 : 4083
67,[0.494654 0.505346],10 : 4084
87,[0.494654 0.505346],10 : 4085
77,[0.43917 0.56083],9 : 4086
75,[0.385167 0.614833],13 : 4087
74,[0.43917 0.56083],14 : 4088
84,[0.43917 0.56083],14 : 4089
85,[0.43917 0.56083],14 : 4090
86,[0.43917 0.56083],14 : 4091
86,[0.660097 0.339903],18 : 4092
76,[0.385167 0.614833],13 : 4093
87,[0.43917 0.56083],14 : 4094
77,[0.385167 0.614833],13 : 4095
67,[0.789861 0.210139],8 : 4096
56,[0.824513 0.175487],9 : 4097
57,[0.824513 0.175487],9 : 4098
58,[0.824513 0.175487],9 : 4099
66,[0.824513 0.175487],9 : 4100
68,[0.824513 0.175487],9 : 4101
76,[0.824513 0.175487],9 : 4102
77,[0.824513 0.175487],9 : 4103
78,[0.824513 0.175487],9 : 4104
76,[0.949479 0.050521],13 : 4105
68,[0.789861 0.210139],8 : 4106
59,[0.824513 0.175487],9 : 4107
67,[0.824513 0.175487],9 : 4108
69,[0.824513 0.175487],9 : 4109
79,[0.824513 0.175487],9 : 4110
77,[0.949479 0.050521],13 : 4111
66,[0.600559 0.399441],12 : 4112
55,[0.652702 0.347298],13 : 4113
64,[0.61031 0.38969],14 : 4114
65,[0.903817 0.0961828],14 : 4115
66,[0.876619 0.123381],14 : 4116
64,[0.652702 0.347298],18 : 4117
65,[0.652702 0.347298],18 : 4118
66,[0.652702 0.347298],18 : 4119
56,[0.652702 0.347298],13 : 4120
45,[0.687428 0.312572],14 : 4121
55,[0.824513 0.175487],14 : 4122
65,[0.824513 0.175487],14 : 4123
67,[0.652702 0.347298],18 : 4124
57,[0.652702 0.347298],13 : 4125
48,[0.769286 0.230714],14 : 4126
68,[0.652702 0.347298],18 : 4127
65,[0.652702 0.347298],13 : 4128
54,[0.701423 0.298577],14 : 4129
55,[0.701423 0.298577],14 : 4130
56,[0.701423 0.298577],14 : 4131
64,[0.701423 0.298577],14 : 4132
66,[0.701423 0.298577],14 : 4133
74,[0.701423 0.298577],14 : 4134
75,[0.701423 0.298577],14 : 4135
76,[0.701423 0.298577],14 : 4136
76,[0.853503 0.146497],18 : 4137
67,[0.652702 0.347298],13 : 4138
57,[0.701423 0.298577],14 : 4139
58,[0.701423 0.298577],14 : 4140
68,[0.701423 0.298577],14 : 4141
77,[0.701423 0.298577],14 : 4142
78,[0.701423 0.298577],14 : 4143
76,[0.903817 0.0961828],18 : 4144
75,[0.652702 0.347298],13 : 4145
65,[0.701423 0.298577],14 : 4146
84,[0.701423 0.298577],14 : 4147
85,[0.701423 0.298577],14 : 4148
86,[0.701423 0.298577],14 : 4149
86,[0.853503 0.146497],18 : 4150
76,[0.652702 0.347298],13 : 4151
67,[0.701423 0.298577],14 : 4152
87,[0.701423 0.298577],14 : 4153
77,[0.652702 0.347298],13 : 4154
75,[0.600559 0.399441],17 : 4155
76,[0.600559 0.399441],17 : 4156
77,[0.600559 0.399441],17 : 4157
67,[0.600559 0.399441],12 : 4158
58,[0.652702 0.347298],13 : 4159
68,[0.903817 0.0961828],14 : 4160
69,[0.876619 0.123381],14 : 4161
69,[0.652702 0.347298],18 : 4162
66,[0.652702 0.347298],13 : 4163
75,[0.652702 0.347298],18 : 4164
76,[0.652702 0.347298],18 : 4165
77,[0.652702 0.347298],18 : 4166
68,[0.652702 0.347298],13 : 4167
59,[0.701423 0.298577],14 : 4168
69,[0.701423 0.298577],14 : 4169
79,[0.701423 0.298577],14 : 4170
77,[0.903817 0.0961828],18 : 4171
78,[0.652702 0.347298],13 : 4172
76,[0.882595 0.117405],17 : 4173
68,[0.600559 0.399441],12 : 4174
59,[0.652702 0.347298],13 : 4175
48,[0.594514 0.405486],14 : 4176
59,[0.630957 0.369043],14 : 4177
68,[0.903817 0.0961828],18 : 4178
69,[0.652702 0.347298],13 : 4179
69,[0.578126 0.421874],14 : 4180
78,[0.903817 0.0961828],18 : 4181
79,[0.652702 0.347298],13 : 4182
77,[0.882595 0.117405],17 : 4183
58,[0.900209 0.0997905],7 : 4184
59,[0.872135 0.127865],7 : 4185
57,[0.643392 0.356608],11 : 4186
48,[0.761961 0.238039],12 : 4187
58,[0.941194 0.0588063],13 : 4188
59,[0.923672 0.0763281],13 : 4189
57,[0.761961 0.238039],17 : 4190
58,[0.761961 0.238039],17 : 4191
59,[0.761961 0.238039],17 : 4192
58,[0.818528 0.181472],12 : 4193
66,[0.429142 0.570858],12 : 4194
55,[0.484453 0.515547],13 : 4195
66,[0.780339 0.219661],14 : 4196
64,[0.484453 0.515547],18 : 4197
65,[0.484453 0.515547],18 : 4198
66,[0.484453 0.515547],18 : 4199
56,[0.484453 0.515547],13 : 4200
45,[0.523726 0.476274],14 : 4201
67,[0.484453 0.515547],18 : 4202
57,[0.484453 0.515547],13 : 4203
48,[0.625073 0.374927],14 : 4204
66,[0.28137 0.71863],14 : 4205
68,[0.484453 0.515547],18 : 4206
65,[0.484453 0.515547],13 : 4207
54,[0.540147 0.459853],14 : 4208
55,[0.540147 0.459853],14 : 4209
56,[0.540147 0.459853],14 : 4210
64,[0.540147 0.459853],14 : 4211
66,[0.540147 0.459853],14 : 4212
74,[0.540147 0.459853],14 : 4213
75,[0.540147 0.459853],14 : 4214
76,[0.540147 0.459853],14 : 4215
76,[0.744444 0.255556],18 : 4216
67,[0.484453 0.515547],13 : 4217
57,[0.540147 0.459853],14 : 4218
58,[0.540147 0.459853],14 : 4219
68,[0.540147 0.459853],14 : 4220
77,[0.540147 0.459853],14 : 4221
78,[0.540147 0.459853],14 : 4222
76,[0.824513 0.175487],18 : 4223
75,[0.484453 0.515547],13 : 4224
65,[0.540147 0.459853],14 : 4225
84,[0.540147 0.459853],14 : 4226
85,[0.540147 0.459853],14 : 4227
86,[0.540147 0.459853],14 : 4228
86,[0.744444 0.255556],18 : 4229
76,[0.484453 0.515547],13 : 4230
67,[0.540147 0.459853],14 : 4231
87,[0.540147 0.459853],14 : 4232
77,[0.484453 0.515547],13 : 4233
75,[0.429142 0.570858],17 : 4234
76,[0.429142 0.570858],17 : 4235
77,[0.429142 0.570858],17 : 4236
67,[0.818528 0.181472],12 : 4237
68,[0.818528 0.181472],12 : 4238
66,[0.643392 0.356608],16 : 4239
67,[0.643392 0.356608],16 : 4240
68,[0.643392 0.356608],16 : 4241
58,[0.643392 0.356608],11 : 4242
68,[0.900209 0.0997905],12 : 4243
69,[0.872135 0.127865],12 : 4244
69,[0.643392 0.356608],16 : 4245
59,[0.643392 0.356608],11 : 4246
48,[0.584637 0.415363],12 : 4247
57,[0.539795 0.460205],13 : 4248
58,[0.7457 0.2543],14 : 4249
66,[0.328285 0.671715],14 : 4250
67,[0.7457 0.2543],14 : 4251
68,[0.7457 0.2543],14 : 4252
66,[0.539795 0.460205],18 : 4253
67,[0.539795 0.460205],18 : 4254
68,[0.539795 0.460205],18 : 4255
58,[0.875586 0.124414],13 : 4256
59,[0.841801 0.158199],13 : 4257
57,[0.584637 0.415363],17 : 4258
58,[0.584637 0.415363],17 : 4259
59,[0.584637 0.415363],17 : 4260
58,[0.750437 0.249563],12 : 4261
67,[0.714761 0.285239],13 : 4262
56,[0.758003 0.241997],14 : 4263
66,[0.758003 0.241997],14 : 4264
76,[0.926086 0.0739144],18 : 4265
68,[0.937636 0.0623636],13 : 4266
69,[0.919146 0.0808543],13 : 4267
67,[0.750437 0.249563],17 : 4268
68,[0.750437 0.249563],17 : 4269
69,[0.750437 0.249563],17 : 4270
59,[0.621401 0.378599],12 : 4271
48,[0.561492 0.438508],13 : 4272
57,[0.516219 0.483781],14 : 4273
58,[0.864907 0.135093],14 : 4274
59,[0.82879 0.17121],14 : 4275
57,[0.561492 0.438508],18 : 4276
58,[0.561492 0.438508],18 : 4277
59,[0.561492 0.438508],18 : 4278
58,[0.732301 0.267699],13 : 4279
67,[0.695086 0.304914],14 : 4280
68,[0.931869 0.0681307],14 : 4281
69,[0.911829 0.0881706],14 : 4282
67,[0.732301 0.267699],18 : 4283
68,[0.732301 0.267699],18 : 4284
69,[0.732301 0.267699],18 : 4285
59,[0.5989 0.4011],13 : 4286
48,[0.538077 0.461923],14 : 4287
58,[0.71335 0.28665],14 : 4288
59,[0.575974 0.424026],14 : 4289
68,[0.71335 0.28665],14 : 4290
69,[0.71335 0.28665],14 : 4291
68,[0.881877 0.118123],18 : 4292
68,[0.732301 0.267699],13 : 4293
57,[0.773726 0.226274],14 : 4294
58,[0.773726 0.226274],14 : 4295
59,[0.773726 0.226274],14 : 4296
67,[0.773726 0.226274],14 : 4297
69,[0.773726 0.226274],14 : 4298
77,[0.773726 0.226274],14 : 4299
78,[0.773726 0.226274],14 : 4300
79,[0.773726 0.226274],14 : 4301
77,[0.931869 0.0681307],18 : 4302
69,[0.732301 0.267699],13 : 4303
68,[0.773726 0.226274],14 : 4304
69,[0.666072 0.333928],14 : 4305
78,[0.931869 0.0681307],18 : 4306
68,[0.891382 0.108618],17 : 4307
68,[0.750437 0.249563],12 : 4308
57,[0.789861 0.210139],13 : 4309
48,[0.869601 0.130399],14 : 4310
58,[0.903817 0.0961828],14 : 4311
67,[0.903817 0.0961828],14 : 4312
66,[0.789861 0.210139],18 : 4313
59,[0.789861 0.210139],13 : 4314
48,[0.7457 0.2543],14 : 4315
58,[0.862346 0.137654],14 : 4316
68,[0.862346 0.137654],14 : 4317
69,[0.862346 0.137654],14 : 4318
68,[0.949479 0.050521],18 : 4319
77,[0.789861 0.210139],13 : 4320
78,[0.789861 0.210139],13 : 4321
79,[0.789861 0.210139],13 : 4322
77,[0.937636 0.0623636],17 : 4323
69,[0.750437 0.249563],12 : 4324
69,[0.686776 0.313224],13 : 4325
58,[0.732674 0.267326],14 : 4326
59,[0.732674 0.267326],14 : 4327
68,[0.732674 0.267326],14 : 4328
69,[0.615203 0.384797],14 : 4329
78,[0.732674 0.267326],14 : 4330
79,[0.732674 0.267326],14 : 4331
78,[0.916409 0.083591],18 : 4332
78,[0.937636 0.0623636],17 : 4333
68,[0.900209 0.0997905],16 : 4334
49,[0.915435 0.0845652],6 : 4335
39,[0.684048 0.315952],10 : 4336
49,[0.915435 0.0845652],11 : 4337
39,[0.684048 0.315952],15 : 4338
49,[0.915435 0.0845652],16 : 4339
39,[0.684048 0.315952],20 : 4340
48,[0.684048 0.315952],20 : 4341
49,[0.684048 0.315952],20 : 4342
48,[0.684048 0.315952],15 : 4343
58,[0.915435 0.0845652],16 : 4344
59,[0.891126 0.108874],16 : 4345
57,[0.684048 0.315952],20 : 4346
58,[0.684048 0.315952],20 : 4347
59,[0.684048 0.315952],20 : 4348
49,[0.684048 0.315952],15 : 4349
59,[0.915435 0.0845652],16 : 4350
48,[0.684048 0.315952],10 : 4351
58,[0.915435 0.0845652],11 : 4352
59,[0.891126 0.108874],11 : 4353
57,[0.684048 0.315952],15 : 4354
48,[0.79344 0.20656],16 : 4355
58,[0.844057 0.155943],16 : 4356
66,[0.474265 0.525735],16 : 4357
67,[0.844057 0.155943],16 : 4358
68,[0.844057 0.155943],16 : 4359
66,[0.684048 0.315952],20 : 4360
67,[0.684048 0.315952],20 : 4361
68,[0.684048 0.315952],20 : 4362
58,[0.684048 0.315952],15 : 4363
68,[0.915435 0.0845652],16 : 4364
69,[0.891126 0.108874],16 : 4365
69,[0.684048 0.315952],20 : 4366
59,[0.684048 0.315952],15 : 4367
48,[0.62812 0.37188],16 : 4368
58,[0.783005 0.216995],16 : 4369
59,[0.663252 0.336748],16 : 4370
68,[0.783005 0.216995],16 : 4371
69,[0.783005 0.216995],16 : 4372
68,[0.915435 0.0845652],20 : 4373
49,[0.684048 0.315952],10 : 4374
59,[0.915435 0.0845652],11 : 4375
29,[0.302167 0.697833],9 : 4376
38,[0.26516 0.73484],10 : 4377
49,[0.104264 0.895736],15 : 4378
29,[0.302167 0.697833],14 : 4379
38,[0.26516 0.73484],15 : 4380
49,[0.104264 0.895736],20 : 4381
29,[0.302167 0.697833],19 : 4382
38,[0.302167 0.697833],19 : 4383
39,[0.302167 0.697833],19 : 4384
38,[0.302167 0.697833],14 : 4385
29,[0.605753 0.394247],15 : 4386
39,[0.884824 0.115176],16 : 4387
29,[0.605753 0.394247],20 : 4388
38,[0.605753 0.394247],20 : 4389
39,[0.605753 0.394247],20 : 4390
49,[0.345575 0.654425],15 : 4391
59,[0.725297 0.274703],16 : 4392
49,[0.345575 0.654425],20 : 4393
58,[0.345575 0.654425],20 : 4394
59,[0.345575 0.654425],20 : 4395
29,[1 0],19 : 4396
39,[1 0],19 : 4397
47,[0 1],19 : 4398
48,[0 1],19 : 4399
49,[0.122561 0.877439],19 : 4400
39,[0.302167 0.697833],14 : 4401
48,[0.26516 0.73484],15 : 4402
57,[0.231183 0.768817],16 : 4403
59,[0.577015 0.422985],16 : 4404
57,[0.26516 0.73484],20 : 4405
58,[0.26516 0.73484],20 : 4406
59,[0.26516 0.73484],20 : 4407
48,[0.302167 0.697833],19 : 4408
49,[0.302167 0.697833],19 : 4409
38,[0.302167 0.697833],9 : 4410
29,[0.605753 0.394247],10 : 4411
39,[0.884824 0.115176],11 : 4412
38,[0.605753 0.394247],15 : 4413
29,[0.84501 0.15499],16 : 4414
49,[0.652023 0.347977],16 : 4415
49,[0.331389 0.668611],20 : 4416
39,[0.605753 0.394247],15 : 4417
49,[0.884824 0.115176],16 : 4418
48,[0.605753 0.394247],20 : 4419
49,[0.605753 0.394247],20 : 4420
49,[0.345575 0.654425],10 : 4421
59,[0.725297 0.274703],11 : 4422
48,[0.673181 0.326819],12 : 4423
58,[0.911497 0.0885034],13 : 4424
59,[0.886196 0.113804],13 : 4425
57,[0.673181 0.326819],17 : 4426
58,[0.673181 0.326819],17 : 4427
59,[0.673181 0.326819],17 : 4428
58,[0.814831 0.185169],12 : 4429
59,[0.706049 0.293951],12 : 4430
48,[0.652034 0.347966],13 : 4431
58,[0.903561 0.0964391],14 : 4432
59,[0.8763 0.1237],14 : 4433
57,[0.652034 0.347966],18 : 4434
58,[0.652034 0.347966],18 : 4435
59,[0.652034 0.347966],18 : 4436
58,[0.800129 0.199871],13 : 4437
59,[0.686037 0.313963],13 : 4438
48,[0.630271 0.369729],14 : 4439
58,[0.784567 0.215433],14 : 4440
59,[0.665308 0.334692],14 : 4441
68,[0.784567 0.215433],14 : 4442
69,[0.784567 0.215433],14 : 4443
68,[0.916146 0.0838543],18 : 4444
68,[0.800129 0.199871],13 : 4445
69,[0.800129 0.199871],13 : 4446
68,[0.923134 0.076866],17 : 4447
68,[0.814831 0.185169],12 : 4448
69,[0.814831 0.185169],12 : 4449
68,[0.929585 0.0704153],16 : 4450
58,[0.345575 0.654425],15 : 4451
68,[0.725297 0.274703],16 : 4452
69,[0.666257 0.333743],16 : 4453
67,[0.345575 0.654425],20 : 4454
68,[0.345575 0.654425],20 : 4455
69,[0.345575 0.654425],20 : 4456
59,[0.345575 0.654425],15 : 4457
48,[0.291765 0.708235],16 : 4458
58,[0.468113 0.531887],16 : 4459
59,[0.324501 0.675499],16 : 4460
68,[0.468113 0.531887],16 : 4461
69,[0.468113 0.531887],16 : 4462
68,[0.725297 0.274703],20 : 4463
49,[0.122561 0.877439],14 : 4464
39,[0.302167 0.697833],9 : 4465
48,[0.26516 0.73484],10 : 4466
57,[0.231183 0.768817],11 : 4467
48,[0.347897 0.652103],12 : 4468
57,[0.307759 0.692241],13 : 4469
48,[0.440959 0.559041],14 : 4470
58,[0.526394 0.473606],14 : 4471
66,[0.156291 0.843709],14 : 4472
67,[0.526394 0.473606],14 : 4473
68,[0.526394 0.473606],14 : 4474
66,[0.307759 0.692241],18 : 4475
67,[0.307759 0.692241],18 : 4476
68,[0.307759 0.692241],18 : 4477
59,[0.668533 0.331467],13 : 4478
48,[0.611418 0.388582],14 : 4479
58,[0.77072 0.22928],14 : 4480
59,[0.647242 0.352758],14 : 4481
68,[0.77072 0.22928],14 : 4482
69,[0.77072 0.22928],14 : 4483
68,[0.909783 0.0902165],18 : 4484
57,[0.347897 0.652103],17 : 4485
58,[0.347897 0.652103],17 : 4486
59,[0.347897 0.652103],17 : 4487
58,[0.429142 0.570858],12 : 4488
67,[0.385167 0.614833],13 : 4489
58,[0.43917 0.56083],14 : 4490
78,[0.43917 0.56083],14 : 4491
76,[0.758003 0.241997],18 : 4492
67,[0.429142 0.570858],17 : 4493
68,[0.429142 0.570858],17 : 4494
69,[0.429142 0.570858],17 : 4495
66,[0.111341 0.888659],12 : 4496
67,[0.429142 0.570858],12 : 4497
58,[0.484453 0.515547],13 : 4498
69,[0.484453 0.515547],18 : 4499
66,[0.484453 0.515547],13 : 4500
75,[0.484453 0.515547],18 : 4501
76,[0.484453 0.515547],18 : 4502
77,[0.484453 0.515547],18 : 4503
68,[0.484453 0.515547],13 : 4504
59,[0.540147 0.459853],14 : 4505
69,[0.540147 0.459853],14 : 4506
79,[0.540147 0.459853],14 : 4507
77,[0.824513 0.175487],18 : 4508
78,[0.484453 0.515547],13 : 4509
76,[0.789861 0.210139],17 : 4510
68,[0.429142 0.570858],12 : 4511
59,[0.484453 0.515547],13 : 4512
48,[0.422996 0.577004],14 : 4513
59,[0.460874 0.539126],14 : 4514
68,[0.824513 0.175487],18 : 4515
69,[0.484453 0.515547],13 : 4516
69,[0.406595 0.593405],14 : 4517
78,[0.824513 0.175487],18 : 4518
79,[0.484453 0.515547],13 : 4519
77,[0.789861 0.210139],17 : 4520
66,[0.231183 0.768817],16 : 4521
67,[0.231183 0.768817],16 : 4522
68,[0.231183 0.768817],16 : 4523
59,[0.577015 0.422985],11 : 4524
48,[0.515558 0.484442],12 : 4525
57,[0.470019 0.529981],13 : 4526
58,[0.689166 0.310834],14 : 4527
66,[0.26982 0.73018],14 : 4528
67,[0.689166 0.310834],14 : 4529
68,[0.689166 0.310834],14 : 4530
66,[0.470019 0.529981],18 : 4531
67,[0.470019 0.529981],18 : 4532
68,[0.470019 0.529981],18 : 4533
58,[0.841801 0.158199],13 : 4534
59,[0.800928 0.199072],13 : 4535
57,[0.515558 0.484442],17 : 4536
58,[0.515558 0.484442],17 : 4537
59,[0.515558 0.484442],17 : 4538
58,[0.694524 0.305476],12 : 4539
67,[0.654535 0.345465],13 : 4540
56,[0.703116 0.296884],14 : 4541
57,[0.703116 0.296884],14 : 4542
66,[0.703116 0.296884],14 : 4543
76,[0.703116 0.296884],14 : 4544
77,[0.703116 0.296884],14 : 4545
78,[0.703116 0.296884],14 : 4546
76,[0.904519 0.0954812],18 : 4547
68,[0.919146 0.0808543],13 : 4548
69,[0.895782 0.104218],13 : 4549
67,[0.694524 0.305476],17 : 4550
68,[0.694524 0.305476],17 : 4551
69,[0.694524 0.305476],17 : 4552
59,[0.55377 0.44623],12 : 4553
48,[0.49191 0.50809],13 : 4554
57,[0.446534 0.553466],14 : 4555
58,[0.82879 0.17121],14 : 4556
59,[0.785412 0.214588],14 : 4557
57,[0.49191 0.50809],18 : 4558
58,[0.49191 0.50809],18 : 4559
59,[0.49191 0.50809],18 : 4560
58,[0.67409 0.32591],13 : 4561
67,[0.63284 0.36716],14 : 4562
68,[0.911829 0.0881706],14 : 4563
69,[0.886612 0.113388],14 : 4564
67,[0.67409 0.32591],18 : 4565
68,[0.67409 0.32591],18 : 4566
69,[0.67409 0.32591],18 : 4567
59,[0.530288 0.469712],13 : 4568
48,[0.468298 0.531702],14 : 4569
58,[0.652971 0.347029],14 : 4570
59,[0.506671 0.493329],14 : 4571
68,[0.652971 0.347029],14 : 4572
69,[0.652971 0.347029],14 : 4573
68,[0.849507 0.150493],18 : 4574
68,[0.67409 0.32591],13 : 4575
57,[0.721092 0.278908],14 : 4576
59,[0.721092 0.278908],14 : 4577
67,[0.721092 0.278908],14 : 4578
77,[0.721092 0.278908],14 : 4579
78,[0.721092 0.278908],14 : 4580
79,[0.721092 0.278908],14 : 4581
77,[0.911829 0.0881706],18 : 4582
69,[0.67409 0.32591],13 : 4583
69,[0.601301 0.398699],14 : 4584
78,[0.911829 0.0881706],18 : 4585
68,[0.861207 0.138793],17 : 4586
68,[0.694524 0.305476],12 : 4587
57,[0.739718 0.260282],13 : 4588
48,[0.834498 0.165502],14 : 4589
58,[0.876619 0.123381],14 : 4590
66,[0.542158 0.457842],14 : 4591
67,[0.876619 0.123381],14 : 4592
68,[0.876619 0.123381],14 : 4593
66,[0.739718 0.260282],18 : 4594
59,[0.739718 0.260282],13 : 4595
48,[0.689166 0.310834],14 : 4596
58,[0.825682 0.174318],14 : 4597
68,[0.825682 0.174318],14 : 4598
69,[0.825682 0.174318],14 : 4599
68,[0.934253 0.0657467],18 : 4600
67,[0.739718 0.260282],13 : 4601
56,[0.780339 0.219661],14 : 4602
76,[0.780339 0.219661],14 : 4603
76,[0.934253 0.0657467],18 : 4604
77,[0.739718 0.260282],13 : 4605
78,[0.739718 0.260282],13 : 4606
79,[0.739718 0.260282],13 : 4607
77,[0.919146 0.0808543],17 : 4608
69,[0.694524 0.305476],12 : 4609
69,[0.623752 0.376248],13 : 4610
58,[0.674509 0.325491],14 : 4611
59,[0.674509 0.325491],14 : 4612
68,[0.674509 0.325491],14 : 4613
69,[0.547271 0.452729],14 : 4614
78,[0.674509 0.325491],14 : 4615
79,[0.674509 0.325491],14 : 4616
78,[0.892347 0.107653],18 : 4617
78,[0.919146 0.0808543],17 : 4618
68,[0.872135 0.127865],16 : 4619
57,[0.26516 0.73484],15 : 4620
48,[0.390318 0.609682],16 : 4621
58,[0.474265 0.525735],16 : 4622
66,[0.130699 0.869301],16 : 4623
67,[0.474265 0.525735],16 : 4624
68,[0.474265 0.525735],16 : 4625
66,[0.26516 0.73484],20 : 4626
67,[0.26516 0.73484],20 : 4627
68,[0.26516 0.73484],20 : 4628
58,[0.26516 0.73484],15 : 4629
69,[0.577015 0.422985],16 : 4630
69,[0.26516 0.73484],20 : 4631
59,[0.26516 0.73484],15 : 4632
48,[0.219668 0.780332],16 : 4633
58,[0.375546 0.624454],16 : 4634
59,[0.247138 0.752862],16 : 4635
68,[0.375546 0.624454],16 : 4636
69,[0.375546 0.624454],16 : 4637
68,[0.643392 0.356608],20 : 4638
48,[0.302167 0.697833],14 : 4639
59,[0.620778 0.379222],15 : 4640
48,[0.56084 0.43916],16 : 4641
58,[0.731781 0.268219],16 : 4642
59,[0.598264 0.401736],16 : 4643
68,[0.731781 0.268219],16 : 4644
69,[0.731781 0.268219],16 : 4645
68,[0.891126 0.108874],20 : 4646
57,[0.302167 0.697833],19 : 4647
58,[0.302167 0.697833],19 : 4648
59,[0.302167 0.697833],19 : 4649
49,[0.302167 0.697833],14 : 4650
38,[0.358448 0.641552],4 : 4651
47,[0 1],5 : 4652
48,[0 1],5 : 4653
49,[0.405245 0.594755],5 : 4654
39,[0 1],6 : 4655
58,[0.362165 0.637835],6 : 4656
57,[0 1],7 : 4657
58,[0 1],7 : 4658
59,[0 1],7 : 4659
67,[0.321192 0.678808],7 : 4660
56,[0.371647 0.628353],8 : 4661
45,[0.409031 0.590969],9 : 4662
34,[0 1],10 : 4663
35,[0 1],10 : 4664
36,[0 1],10 : 4665
54,[0.365797 0.634203],10 : 4666
55,[0.775819 0.224181],10 : 4667
56,[0.723499 0.276501],10 : 4668
54,[0.409031 0.590969],14 : 4669
55,[0.409031 0.590969],14 : 4670
56,[0.409031 0.590969],14 : 4671
55,[0.596556 0.403444],9 : 4672
64,[0.552014 0.447986],10 : 4673
65,[0.880857 0.119143],10 : 4674
66,[0.848256 0.151744],10 : 4675
64,[0.596556 0.403444],14 : 4676
65,[0.596556 0.403444],14 : 4677
66,[0.596556 0.403444],14 : 4678
65,[0.596556 0.403444],9 : 4679
54,[0.648916 0.351084],10 : 4680
55,[0.648916 0.351084],10 : 4681
56,[0.648916 0.351084],10 : 4682
64,[0.648916 0.351084],10 : 4683
66,[0.648916 0.351084],10 : 4684
74,[0.648916 0.351084],10 : 4685
75,[0.648916 0.351084],10 : 4686
76,[0.648916 0.351084],10 : 4687
66,[0.596556 0.403444],9 : 4688
57,[0.648916 0.351084],10 : 4689
65,[0.648916 0.351084],10 : 4690
67,[0.648916 0.351084],10 : 4691
77,[0.648916 0.351084],10 : 4692
75,[0.596556 0.403444],14 : 4693
76,[0.596556 0.403444],14 : 4694
77,[0.596556 0.403444],14 : 4695
67,[0.527859 0.472141],9 : 4696
56,[0.582901 0.417099],10 : 4697
57,[0.582901 0.417099],10 : 4698
58,[0.582901 0.417099],10 : 4699
66,[0.582901 0.417099],10 : 4700
68,[0.582901 0.417099],10 : 4701
76,[0.582901 0.417099],10 : 4702
77,[0.582901 0.417099],10 : 4703
78,[0.582901 0.417099],10 : 4704
76,[0.848256 0.151744],14 : 4705
65,[0.371647 0.628353],13 : 4706
54,[0.425066 0.574934],14 : 4707
55,[0.425066 0.574934],14 : 4708
56,[0.425066 0.574934],14 : 4709
64,[0.425066 0.574934],14 : 4710
66,[0.425066 0.574934],14 : 4711
74,[0.425066 0.574934],14 : 4712
75,[0.425066 0.574934],14 : 4713
76,[0.425066 0.574934],14 : 4714
76,[0.647084 0.352916],18 : 4715
66,[0.371647 0.628353],13 : 4716
57,[0.425066 0.574934],14 : 4717
65,[0.425066 0.574934],14 : 4718
67,[0.425066 0.574934],14 : 4719
77,[0.425066 0.574934],14 : 4720
75,[0.371647 0.628353],18 : 4721
76,[0.371647 0.628353],18 : 4722
77,[0.371647 0.628353],18 : 4723
67,[0.371647 0.628353],13 : 4724
58,[0.425066 0.574934],14 : 4725
68,[0.425066 0.574934],14 : 4726
78,[0.425066 0.574934],14 : 4727
76,[0.747303 0.252697],18 : 4728
57,[0.371647 0.628353],8 : 4729
48,[0.512045 0.487955],9 : 4730
57,[0.466517 0.533483],10 : 4731
58,[0.839919 0.160081],10 : 4732
59,[0.798676 0.201324],10 : 4733
57,[0.512045 0.487955],14 : 4734
58,[0.512045 0.487955],14 : 4735
59,[0.512045 0.487955],14 : 4736
58,[0.596556 0.403444],9 : 4737
67,[0.552014 0.447986],10 : 4738
68,[0.880857 0.119143],10 : 4739
69,[0.848256 0.151744],10 : 4740
67,[0.596556 0.403444],14 : 4741
68,[0.596556 0.403444],14 : 4742
69,[0.596556 0.403444],14 : 4743
66,[0.197717 0.802283],9 : 4744
67,[0.596556 0.403444],9 : 4745
58,[0.648916 0.351084],10 : 4746
68,[0.648916 0.351084],10 : 4747
78,[0.648916 0.351084],10 : 4748
76,[0.880857 0.119143],14 : 4749
68,[0.596556 0.403444],9 : 4750
59,[0.648916 0.351084],10 : 4751
69,[0.648916 0.351084],10 : 4752
79,[0.648916 0.351084],10 : 4753
77,[0.880857 0.119143],14 : 4754
68,[0.371647 0.628353],13 : 4755
59,[0.425066 0.574934],14 : 4756
69,[0.425066 0.574934],14 : 4757
79,[0.425066 0.574934],14 : 4758
77,[0.747303 0.252697],18 : 4759
58,[0.371647 0.628353],8 : 4760
67,[0.330156 0.669844],9 : 4761
56,[0.381229 0.618771],10 : 4762
57,[0.381229 0.618771],10 : 4763
58,[0.381229 0.618771],10 : 4764
66,[0.381229 0.618771],10 : 4765
68,[0.381229 0.618771],10 : 4766
76,[0.381229 0.618771],10 : 4767
77,[0.381229 0.618771],10 : 4768
78,[0.381229 0.618771],10 : 4769
76,[0.711352 0.288648],14 : 4770
68,[0.747303 0.252697],9 : 4771
57,[0.787082 0.212918],10 : 4772
58,[0.787082 0.212918],10 : 4773
59,[0.787082 0.212918],10 : 4774
67,[0.787082 0.212918],10 : 4775
69,[0.787082 0.212918],10 : 4776
77,[0.787082 0.212918],10 : 4777
78,[0.787082 0.212918],10 : 4778
79,[0.787082 0.212918],10 : 4779
